'ge'li'qu'she'zhi 隔离区设置
'gan'cao'sheng'yun'qi 干草升运器
'ji'bai'xue'bing 鸡白血病
'ji'neng'xing'dan'bei'ti 机能性单倍体
'zong'ti'fang'cha 总体方差
'wen'tang'xiao'du 温汤消毒
'ya'xiao'suan'xi'jun 亚硝酸细菌
'xian'jing 陷阱
'qin'bai'xue'bing'bu'ti'jie'he'xue'qing'shi'yan 禽白血病补体结合血清试验
'ji'dan'fen'ji'ji 鸡蛋分级机
'shui'rong'xing'jia'fei 水溶性钾肥
'xing'fen'hua 性分化
'mu'ma 母马
'piao'bai'lin'rong'tu 漂白淋溶土
'tian'ran'cao'di 天然草地
'tu'gang 土纲
'qi'shan 脐疝
'ye'sheng'zhong 野生种
'guang'fen'jie 光分解
'han'zuo'han'nong 旱作旱农
'yan'hou 咽喉
'shou'yi'wei'sheng 兽医卫生
'gan'guo 干果
'ji'ye'da'fa 基耶达法
'dao'guan'zhi'wu 导管植物
'deng'wei'ji'yin'jian'hu'bu 等位基因间互补
'liu'xian'niao'lei'chu'cao'ji 硫酰脲类除草剂
'yuan'wei 原位
'bao'ceng'se'pu 薄层色谱
'ying'yang'bu'liang'xing'guan'jie'yan 营养不良性关节炎
'gai'zhi'chen'zhuo 钙质沉着
'jing'rou'lv 净肉率
'ke'rong'xing'dian'fen 可溶性淀粉
'liu'hua'wu 硫化物
'san'you'suan'gan'you'zhi 三油酸甘油酯
'hou'dai'ce'yan 后代测验
'you'ji'nong'ye 有机农业
'wan'dou'bai'fen'bing 豌豆白粉病
'wu'zhi'tou'guo 物质透过
'fu'zhong 浮肿
'jie'chu'gan'ran 接触感染
'duo'rou'guo 多肉果
'chang'ye 肠液
'ruo'chong 若虫
'ku'ju 苦苣
'lv'suan'yan 铝酸盐
'dan'yan 单眼
'dan'bai'zhi'dai'xie'zhuo'zhang'ai 蛋白质代谢酌障碍
'jie'jian 结茧
'pai'shui'qu'dao 排水渠道
'huo'xing'jian'du 活性碱度
'you'xing'bao'zi 有性孢子
'zi'ji'zi'zu 自给自足
'zhu'chuan'ran'xing'chang'wei'yan 猪传染性肠胃炎
'cheng'shu'bi'lv 成熟比率
'xian'an'tai'dan 酰胺态氮
'wu'shui'li'yong 污水利用
'chun'can'zhong 春蚕种
'li'yan 砾岩
'yan'ji'xing'yan 盐基性岩
'ban'zhong 拌种
'cu'suan'fa'jiao 醋酸发酵
'xian'zhu'fan'ying 显著反应
'lu'dao'zhu'ku'bing 陆稻株枯病
'sheng'li'bu'yu'xing 生理不育性
'chu'sheng'zi'chu'zhi'xi 初生仔畜窒息
'si'liao'fen'sui 饲料粉碎
'xuan'wu'yan 玄武岩
'gan'sang'ye'fen 干桑叶粉
'sheng'chan'za'jiao 生产杂交
'shi'sheng'zhi'wu 石生植物
'pu'tao 葡萄
'shou'suo 收缩
'sheng'zhang'qu'xian 生长曲线
'dian'jing 电镜
'tuo'zhi'nai 脱脂奶
'you'bei'guo'shi'de 有被果实的
'kuang'quan'bing 狂犬病
'ri'guang'wen'shi 日光温室
'xiang'dui'nai'liang 相对奶量
'dui'sheng'ye'xu 对生叶序
'xing'wei 行为
'hui'shui'qu 回水区
'tuo'lv'hua'guo'cheng 脱氯化过程
'chao'qin'you'shi 超亲优势
're'hui'shou 热回收
'bo'dong 搏动
'lin'suan'tang'lei 磷酸糖类
'wei'sheng'wu'sheng'tai'xue 微生物生态学
'xian'zhu'jian'shao 显著减少
'fen'jiao 粪窖
'zi'ran'fu'hua 自然孵化
'bian'xing'chong'de 变形虫的
'shi'xi'bao 噬细胞
'ru'bai'dan'bai 乳白蛋白
'yu're'qi 预热器
'shu'liang'ji'yin 数量基因
'ying'guang 荧光
'fei'hai 肥害
'ma'ling'shu'huang'ban'hua'ye'bing 马铃薯黄斑花叶病
'xian'bing'du 腺病毒
'fu'gu'gou'shan 腹股沟疝
'xian'zhu'xing 显著性
'xiang'cao'quan 香草醛
'ping'jun'jian'shao 平均减少
'qi'ya'qi 气压器
'lin'hui'yan'fen 磷灰岩粉
'you'hai'fei'wu 有害废物
'rong'ji'ti'qu 溶剂提取
'xian'xing'xing'zhuang 显性性状
'xiao'ye 小叶
'tui'tu'ji 推土机
'bao'geng 孢梗
'tie'xi'jun 铁细菌
'di'xia'qu'dao 地下渠道
'ren'jiao 任教
'zai'sheng'fu'zhi'suan 再生腐殖酸
'jie'shi'li 结实粒
'can'luan'chao'dong'jie 蚕卵巢冻结
'zai'sheng'neng'li 再生能力
'ji'xie'chou'yang'fa 机械抽样法
'dan'xi'bao'dong'wu 单细胞动物
'ke'tu 客土
'mi'zou'shen'jing'qie'duan'shu 迷走神经切断术
'ping'fang'gen 平方根
'zhu'qun 株群
'xian'ye'zao 线叶藻
'jiao'fang'hua'xu'shi'de 缴房花序式的
'bian'mao'zhi'wu 鞭毛植物
'luo'xuan'shu'song'qi 螺旋输送器
'qian'bai'wan 千百万
'jia'chu 家畜
'pu'tao'zi'you 葡萄籽油
'shou'jing'shi'qi 受精适期
'xi'sha 细砂
'ya'mo'ke'tao'chong'bing 鸭膜壳绦虫病
'chan'nai'liang 产奶量
'hua'zhu 花柱
'zui'da'han'shui'rong'liang 最大含水容量
'gang'tian 岗田
'ce'ya'fa 测压法
'ji'sui'hui'zhi'yan'bing'du 脊髓灰质炎病毒
'si'liao'de'jiao'mu'chu'li 饲料的酵母处理
'liang'gu'sheng'chan 粮谷生产
'chou'xiong 抽雄
'lin'rong'gan'han'tu 淋溶干旱土
'kong'qi'guo'lv 空气过滤
'jian'tu 碱土
'zhi'li'xiao'shi 智利硝石
'xing'tai'xing'cheng'guo'cheng 形态形成过程
'hu'xi'qi'fang'du'mian 呼吸器防毒面
'ti'cheng'shu 体成熟
'dan'zhi'se'su 胆汁色素
'mai'lei'sui'shou'fu'bing 麦类穗首腐病
'ri'zhao'ji 日照计
'guan'zhong 关中
'yu'cha 预察
'jun'zhi 均值
'yi'yong'niu 役用牛
'gou'peng'jie'xian'chong'bing 狗膨结线虫病
'shui'mian'zheng'fa 水面蒸发
'jian'cha 检查
'he'cheng'pei'yang'ji 合成培养基
'ya'kuai 压块
'cu'li'shu'fei'liao 促粒熟肥料
'xiang'si'ti 相似体
'zhi'wu'zu'zhi 植物组织
'chui'zhi'tu'rang'dai 垂直土壤带
'tu'rang'shui'fen'han'liang 土壤水分含量
'jie'he'zao'lei 接合藻类
're'te'xing 热特性
'hai'mian'zhuang'de 海绵状的
'chu'sha 除沙
'kang'xing'yu'zhong 抗性育种
'zhong'qi'hou 中气候
'zi'ran'tu'bian 自然突变
'cu'fang'si'yang 粗放饲养
'mo'fang 磨房
'xue'li 雪犁
'tong'hua'zu'zhi 同化组织
'wu'li'fang'zhi 物理防治
'fen'zu 分组
'you'duo'dao'shao 由多到少
'yan'hai'han'leng 沿海寒冷
'zheng'liu'shui 蒸馏水
'lin'xian'an 磷酰胺
'jian'yong'mu'niu 兼用母牛
'an'ji'piao'ling 氨基嘌呤
'kai'hua 开花
'kuo'san 扩散
'dong'wu'fen 动物粪
'gu'qiu'tu 鼓丘土
'ping'heng'pin'lv 平衡频率
'xian'dai'qin'shi 现代侵蚀
'mian'geng'nong'ye 免耕农业
'shou'yao'bo'zhong'ji 手摇播种机
'shi'zi'la 柿子辣
'wei'jue'pu 味觉瀑
'bao'bei 包被
'mei'fei 镁肥
'gui'shu 归属
'hua'zhou 花轴
'ji'qian'nian 几千年
'hua'pen 花盆
'cao'chang'tu'rang 草场土壤
'gan'lan'gen'xiu'bing 甘蓝根朽病
'fa'jiao'de 发酵的
'bao'nang 胞囊
'qie'zi'he'ban'bing 茄子褐斑病
'kan'mai'niang 看麦娘
'bu'chong'cao'di 补充草地
'sheng'si 生丝
'wei'kong'lv'qi 微孔滤器
'dian'fen'li 淀粉粒
'duo'bei'xing 多倍性
'jia'she'ce'yan 假设测验
'yu'hua 羽化
'you'bian'de 有边的
'po'mian'wen'ding'xing 坡面稳定性
'gao'long 高垄
'jie'he'du 接合度
'cu'fu'zhi'zhi 粗腐殖质
'gen'chu'li 根处理
'zhong'chu'qun 种畜群
'di'zhu 滴注
'xuan'ti 选题
'he'nei'fu'zhi 核内复制
'shi'zi'xing'de 十字形的
'ran'se'ti'zu'gong'yi'xue 染色体组工艺学
'rou'yong'xing 肉用型
'sheng'wu'fei'liao 生物肥料
'dan'xiang'guan 单相关
'zhen'kong'gan'zao 真空干燥
'zhong'zhan'tian 重粘田
'bao'hu'shang'pi 保护上皮
'kang'yan'yao 抗炎药
'di'xia'shui'liu 地下水流
'kuo'ye'de 阔叶的
'fang'xian'jun'bing 放线菌病
'jia'zu'xing'lei'ji 家族性累积
'zi'lian 自廉
'hong'wai'xian'deng'nuan'fang 红外线灯暖房
'gou'pao'zhen'bing'du 狗疱疹病毒
'guan'mu'dui'fei 灌木堆肥
'shi'mian'de 嗜眠的
'man'chuan'ran 螨传染
'guo'ying 果蝇
'ni'shen'tou 逆渗透
'chan'luan'shu 产卵数
'li'xiao'shi'xin'chong 梨小食心虫
'he'ye 核液
'duo'xiang 多项
'bing'du'kang'xing'yu'zhong 病毒抗性育种
'cao'di'nong'ye 草地农业
'cao'mei'she'yan'bing 草莓蛇眼病
'xi'gen 吸根
'guan'chuan'ye 贯穿叶
'shui'sheng'zhi'wu 水生植物
'ding'xiang 丁香
'guan'shi'pai'shui'gou 管式排水沟
'jian'da 简答
'di'mian'si'yang 地面饲养
'qiu'jun 球菌
'da'suan'shuang'mei'bing 大蒜霜霉病
'quan'tong'bao 全同胞
'xiao'hua'xi'jun 硝化细菌
'qi'guan'hu'xi 气管呼吸
'ya'yi 鸭疫
'yang'mao'pi 羊毛皮
'fang'zu'ting 芳族烃
'zhu'zai 主栽
'bi'yu'zhi'wu 避雨植物
'yi'xing'yi'de 异形翼的
'mian'hua'hui'mei'bing 棉花灰霉病
'shui'niu 水牛
'hui'jiao 回交
'wu'li'hua'xue'fang'zhi 物理化学防治
'xin'bao'yan 心包炎
'yu'mi'ge'kun'ji 玉米割捆机
'hai'yang'mu'chang 海洋牧场
'gan'cao'zhua'dou 干草抓斗
'cui'que 翠雀
'er'lv'bing'xian'ben'an 二氯丙酰苯胺
'tuo'luo'su 脱落素
'fei'liao'nong'du 肥料浓度
'za'sui'sheng'yun'qi 杂穗升运器
'lian'he'shi'fei'ji'bo'zhong'ji 联合施肥及播种机
'fan'she'qi 反射器
'wu'ran'di'qu 污染地区
'dan'lin 氮磷
'san'ye'cao'fu'lan'bing 三叶草腐烂病
'gen'cai'zai'pei 根菜栽培
'wen'ding'liu 稳定流
'chuang'jie 床接
'lin'suan'tie 磷酸铁
'zhong'xing'ji'yin 中性基因
'you'xiao'dao'da 由小到大
'xi'mao'yang 细毛羊
'can'xiao'hua'guan 蚕消化管
'bian'xing'dan 变形蛋
'zhu'cang'tan'shui'hua'wu 贮藏碳水化物
'bo'chuang 播床
'lin'jian'fang'mu 林间放牧
'ning'jiao'se'pu'fa 凝胶色谱法
'xian'piao'ling'mei 腺嘌呤酶
'yi'chuan'pu'tao'zhuang'de 一串葡萄状的
'gu'feng'pen'wu'ji 鼓风喷雾机
'ya'ma'zhi'shu'ji 亚麻栉梳机
'san'suo'suan'xun'huan 三羧酸循环
'an'se'tu 暗色土
'ji'yue'zai'pei 集约栽培
'xiao'bai'shu'rou'liu'bing'du 小白鼠肉瘤病毒
'gan'cao 干草
'ping'guo'huo'yi'bing 苹果火疫病
'qiu'kui 秋葵
'si'liao'fen'lei 饲料分类
'yu'lei'jia'gong'fu'chan'wu'zhong'du 鱼类加工副产物中毒
'mu'cao'zi'shou'huo'ji 牧草籽收获机
'you'ji'tu 有机土
'can'cha'dui'fei 残茬堆肥
'ji'sheng'chong'bing 寄生虫病
'zu'zhi'xi'bao'xue'fen'xi 组织细胞学分析
'gou'bo 沟播
'gan'han'ying'ji 干旱应激
'xiao'hua'zhong'du'sha'chong'ji 消化中毒杀虫剂
'he'ban'de 合瓣的
'tu'rang'chuan'ran 土壤传染
'zhong'jian'zhong 中间种
'sheng'hua'wu 升化物
'shi'liu 石榴
'biao'xing'xiang'guan 表型相关
'fen'liu'bing 粉瘤病
'jue'dui'hua 绝对化
'fen'sha'yan 粉砂岩
'yi'xian'yi'suan 乙酰乙酸
'ya'xing 亚型
'sha'yan 砂岩
'jiao'ban'ji 搅拌机
'shi'fei'wei'zhi 施肥位置
'zeng'zhong 增重
'mi'feng'shi'shang 蜜蜂螫伤
'huan'jing'fang'cha 环境方差
'dian'hua'wu 碘化物
'ju'mo'fa'jiao'si'liao 锯末发酵饲料
'bian'mao'chong'lei 鞭毛虫类
'dao'du 导度
'xian'xing'ji'yin 显性基因
'jia'niao'gan 假尿苷
'tian'yu'mi 甜玉米
'xiao'mu'niu 小母牛
'yi'mi'xian'xiang 溢泌现象
'chou'shui'guan'gai 抽水灌溉
'gao'wen'chu'li 高温处理
'can'cu 蚕簇
'shan'zhuang'zheng'zhi'shu 扇状整枝树
'huo'yan'zhong'geng'ji 火焰中耕机
'ye'zi'ke 椰子壳
'fang'she'hua'xue'fen'xi 放射化学分析
'huan'qi'chuang 换气窗
'yan'ye'gan'zao 烟叶干燥
'yang'hua'ceng 氧化层
'ji'shu'zi'liao 计数资料
'jian'zhong'du 碱中毒
'huang'cao'ling 黄草灵
'cu'sha 粗砂
'ji'yin'zhong'xin 基因中心
'wu'xing'shi'dai 无性世代
'xi'shou'zu'zhi 吸收组织
'yu'zhuang'de 羽状的
'lian'shi'si'liao'fen'song'ji 链式饲料分送机
'tian'ran'yang'fen 天然养分
'sheng'yu'qian'ban'qi 生育前半期
'yao'fen'hun'he'qi 药粉混合器
'xian'xing'xiang'guan 线性相关
'ye'tu 野兔
'er'ti'xiong'rui'de 二体雄蕊的
'liu'wei'qie'kai'shu 瘤胃切开术
'shi'fang'ji'su 释放激素
'wai'guan'pin'zhi 外观品质
'chu'she'wei'sheng 畜舍卫生
'gu'dui 谷堆
'hou'dai'gan'ran 后代感染
'lv'nong'gan'jun'gan'ran'zheng 绿浓杆菌感染症
'xiao'shou'e 销售额
'zhi'wu'ran'liao 植物染料
'hu'xi'zhang'ai 呼吸障碍
'xian'wei'su 纤维素
'chang'qi'zhu'cang 长期贮藏
'shou'ji'nai 手挤奶
'ceng'wei 层位
'zuo'can'shi'nei'si'yu 柞蚕室内饲育
'shu'luan'guan 输卵管
'piao'bai'hong'sha'tu 漂白红砂土
'sheng'wu'huo'xing'wu'zhi 生物活性物质
'wan'neng'tuo'la'ji 万能拖拉机
'yue'gui'shu 月桂树
'sheng'yu'kang'yuan 剩余抗原
'fei'liao'che 肥料车
'jia'chu'gou'duan'luo'xuan'ti'bing 家畜钩端螺旋体病
'ying'yang'shui'ping 营养水平
'jiu'zao 酒糟
'yong'shui'guan'li 用水管理
'ti'zi 梯子
'zhang'zhuang'shen'lie'de 掌状深裂的
'yang'ma 洋麻
'yin'shui'kou 引水口
'zi'duan 紫椴
'tu'rang'wei'sheng'wu'qu'xi 土壤微生物区系
'fu'zhi'zhi'tie'lv'tu 腐殖质铁铝土
'gu'xiang 谷象
'jia'jie 嫁接
'sui'chang 穗长
'ban'pei 半胚
'ji'chu'shi'yan 基础试验
'hua'fen'chuan'ran 花粉传染
'bei'zhuang'zheng'zhi 杯状整枝
'luo'fan'yu 骡繁育
'huang'gua'hei'xing'bing 黄瓜黑星病
'ping'guo'suan'tuo'qing'mei 苹果酸脱氢酶
'bao'zi'chong 孢子虫
'ru'tou 乳头
'shi'jian'xi'bao 嗜碱细胞
'ran'se'wei'li 染色微粒
'sha'niao'ji 杀鸟剂
'rong'ji 容积
'long'bo'zhong 垄播种
'zi'dong'wei'si 自动喂饲
'dan'zai'chun 胆甾醇
'ci'biao 刺标
'ye'tai'si'jiao 液态丝胶
'luo'ye'song 落叶松
'fan'hui'qi 返回期
'ting'jue'pu 听觉瀑
'zhou'si 骤死
'bi'qi'guan'yan 鼻气管炎
'ming'xian 明显
'ya'an'liu'lin 亚胺硫磷
'zhao'ze'xing'cheng 沼泽形成
'zhi'wu'qu'xi'xue 植物区系学
'qian'wen 前文
'ji'jian'de 急尖的
'zu'zhi'ye 组织液
'fu'zhi'zhi'jun'heng 腐殖质均衡
'peng'mei'fei 硼镁肥
'zhi'xiao'ying 知效应
'hong'jian'biao'zhun 烘茧标准
'di'si'ji'ceng 第四纪层
'xi'tong'wu'cha 系统误差
'fu'xie 腹泻
'zhu'shui'pao'bing 猪水泡病
'fu'zhi 赋值
'wei'xi'bao 微细胞
'fei'chu'li'yong'chang 废畜利用厂
'xi'fu'lv 吸附率
'wu'jin 侮津
'tong'qi'zu'zhi 通气组织
'nei'sheng'jun'gen 内生菌根
'xi'bao'ye 细胞液
'mian'mao'e'de 绵毛萼的
'fen'san'xing'tu'rang 分散性土壤
'hai'li 海里
'li'ti'xi'bao'pei'yang 离体细胞培养
'ying'yong'zhi'wu'xue 应用植物学
'zhi'ma 芝麻
'fei'lun'sheng'hua 非轮生花
'hua'huang'su 花黄素
'hun'shu'xing 混数性
'di'san'ji'ceng 第三纪层
'wang'wen'qiang'lin'rong'tu 网纹强淋溶土
'hao'ke'dang'liang 毫克当量
'ji'yin'pei'zhi 基因配置
'pian'yan 片岩
'pei'yu'lv 培育率
'gui'tie'lv 硅铁率
'ji'sheng'xian'xiang 寄生现象
'zhuang'can 壮蚕
'xuan'guo 选果
'ji'fen 鸡粪
'ji'suan'ji 计算机
'gan'wu'zhi'han'liang 干物质含量
'duo'xiang'za'jiao 多向杂交
'zhu'xi 株系
'xi'pu 系谱
'ying'ye'lin 硬叶林
'fen'zhuang'chuang'jia'bing 粉状疮痂病
'jiao'cheng 教程
'wei'sheng'su'han'liang 维生素含量
'jian'xing'hu'xi 兼性呼吸
'sheng'li'di 生理第
'bian'tai'xi'xing 变态习性
'pou'fu'chan'shu 剖腹产术
'huo'cheng'yan'tu'rang 火成岩土壤
'yi'cheng 亦称
'xian'yan'gai'lv 先验概率
'yi'chang'qi'hou 异常气候
'xuan'ze'xing'shou'jing 选择性受精
'er'ci'nie'zhi 二次蘖枝
'xing'xiang'liang 行向量
'chun'yu 纯育
'ren'gong'shou'fen 人工授粉
'bao'ceng'tie'pan'hui'rang 薄层铁磐灰壤
'shi'ying'mei 适应酶
'shuang'gong'jian 双宫茧
'dai'biao'zhi 代表值
'kui'que 亏缺
'zhu'ji'sui'hui'shi'chou 猪脊髓灰恃譸
'qiang'shang'nang 腔上囊
'ju'bing'xi'xian'an'ning'jiao'dian'yong 聚丙烯酰胺凝胶电泳
'su'dan'cao 苏丹草
'guan'mao 冠毛
'he'ling'ji'shui'dao'tu 河铃积水稻土
'xi'jun'xing'gan'fu'bing 细菌性秆腐病
'zuo'can'luan 柞蚕卵
'yu'zhong'fang'fa 育种方法
'zu'zhi'fen'hua 组织分化
'jian'xing'tu 碱性土
'si'zhi'ma'mu 四肢麻木
'qun'ji'du 群集度
'ran'se'ti'lian'he 染色体联合
'shan'di'hui'zong'rang 山地灰棕壤
'fang'xian'jun'tong 放线菌酮
'shui'wen'ce'yan'xue 水文测验学
'tu'bian'pin'lv'shuai'tui 突变频率衰退
'rou'bao'zi'chong 肉胞子虫
'suan'xing'fei'wu 酸性废物
'zong'zhuang'lei'hua'xu 总状类花序
'sheng'li'fen'hua 生理分化
'tu'rang'xue 土壤学
'you'ji'zhi'fen'jie'su'du 有机质分解速度
'di'chao 低潮
'fu'zhi'dang'liang'xi'shu 腐殖当量系数
'tai'yang'chang'shu 太阳常数
'zhong'gan 中感
'rong'xue 溶血
'chun'ban 唇瓣
'fu'kong'tao'chong'bing 复孔绦虫病
'wu'tou'de 无头的
'dan'zhu 单株
'san'jiao'zhou'tu'rang 三角洲土壤
'cai'dou 菜豆
'ji'gan 极感
'xiang'chong'ke 象虫科
'shang'hai 伤害
'qu'xian'xiang'guan 曲线相关
'hei'mai'fu 黑麦麸
'an'ji'suan'huo'xing'mei 氨基酸活性酶
'gong'shi 公事
'jiao'cha'jie'gou'wu 交叉结构物
'ma'ling'shu'shou'jue'cha 马铃薯手掘叉
'can'de'shi'yu 蚕的食欲
'chang'zong'liao 长鬃蓼
'chou'xian 臭腺
'feng'bao 风暴
'gui'tou'yan 龟头炎
'hua'fen 花粉
'niao'du'zheng 尿毒症
'hong'zong'se'cao'yuan'tu 红棕色草原土
'dian'tou'xi 电透析
'xiao'mu'ji 小母鸡
'yan'dao'qi'ti 烟道气体
'la'ding'fang 拉丁方
'yong'jiu'mu'chang 永久牧场
'zhen'pi 真皮
'shao'tu 烧土
'ge'xian 各县
'chou'chu 抽出
'xi'you'yan'ji 稀有盐基
'fang'feng'lin 防风林
'si'liao'tian'jia'wu 饲料添加物
'wu'cha'bian'yi 误差变异
'za'zhong'jiao'hua 杂种交化
'hui'gui 回归
'di'xia'shui'wei 地下水位
'ke'bian'dian'zu 可变电阻
'bu'ding'gen 不定根
'shou'yi'jian'yi 兽医检疫
'duo'yuan'xie'fang'cha'fen'xi 多元协方差分析
'diao'wei 凋萎
'chan'liang'tian'qi'mo'shi 产量天气模式
'nao'chui'ti'hou'ye 脑垂体后叶
'san'e'pian'de 三萼片的
'quan'zuo'zi 犬坐姿
'que'shui 缺水
'da'pei'zi 大配子
'ban'yue'ban 半月斑
'fen'lei'dan'wei 分类单位
'yin'nang 阴囊
'lin'xi'guo'cheng 淋洗过程
'zhong'du'zhu 中毒株
'dong'zu'liu 动诅流
'xue'qiu'ning'ji'fan'ying 血球凝集反应
'jing'lin'du 径吝度
'qing'xie'yao 轻泻药
'duo'nian'sheng'za'cao 多年生杂草
'yong'bu'zhao 用不着
'mei'huo'hua'ji 酶活化剂
'bao'ceng'tu 薄层土
'tu'nian'ye'liu 兔粘液瘤
'zhi'wu'qu'xi'di'li'xue 植物区系地理学
'ji'yan'tu'rang 基岩土壤
'gao'shan'fang'mu'de 高山放牧地
'she'zu 涉足
'tu'rang'kong'qi 土壤空气
'jia'chu'yong'xiao'che 家畜用小车
'you'cheng 游程
'yan'zi'cai 眼子菜
'ji'yin'nei'jiao'cha 基因内交叉
'dan'ke 蛋壳
'hai'tan'bin'li 海滩滨藜
'wu'ji'suan 无机酸
'ran'se'ti'xiao'jian 染色体消减
'ai'zhuang'su 矮壮素
'ti'tian'qiang 梯田墙
'mao'sui'ceng 毛髓层
'jing'gan'fen'li'qi 茎秆分离器
'si'liao'li'yong 饲料利用
'yang'jing 阳茎
'cao'suan'yan 草酸盐
'gai'ge'ji'shu'qi 盖革计数器
'yi'chuan'bi 遗传比
'ma'bing'li'xue 马病理学
'fu'sheng 腐生
'jia'lun'sheng 假轮生
'gao'du'biao 高度表
'gan'jiao'mu 干酵母
'bao'nang 孢囊
'hu'luo'bo'su'mei 胡萝卜素酶
'yi'chuan'kong'zhi 遗传控制
'xi'fu 吸附
'fang'cha'fen'xi'biao 方差分析表
'mu'di'di 目的地
'ren'gong'ying'yang 人工营养
'yu'zhuang'ban'lie'de 羽状半裂的
'zao'shu'gan'lan 早熟甘蓝
'you'cai'gen'fu'bing 油菜根腐病
'bo'zhong'fang'shi 播种方式
'niao'nang 尿囊
'biao'zhun'zhong'zi 标准种子
'ye'ai 野艾
'fu'yan 复眼
'ji'sheng'zhi'qi'chong'bing 鸡生殖泣虫病
'tu'rang'ya'mu 土壤亚目
'ru'fang'an'mo 乳房按摩
'shu'de 属的
'zhi'wu'xing'dan'bai'zhi'si'liao 植物性蛋白质饲料
'duan'mao'zhong 短毛种
'tu'rang'shen'tou'nong'du 土壤渗透浓度
'xing'te'zheng 性特征
'yan'xian'an'xian'piao'ling'er'he'dai'suan'lin'suan 烟酰胺腺嘌呤二核甙酸磷酸
'biao'zhun'wu'cha 标准误差
'tuo'ma'si'lu'du 托马斯炉黷
'zai'pei'ji'shu 栽培技术
'sheng'yu'fen 生育酚
'fen'de 粪的
'she'xian'zhao'xiang'fa 射线照相法
'cheng'shu'yan'chi 成熟延迟
'zui'di'liang'ding'lv 最低量定律
'mei'zhou'mi'feng'fu'yong'bing 美洲蜜蜂腐蛹病
'fen'li 分离
'ren'gong'xuan'ze 人工选择
'chao'shen'geng'li 超深耕犁
'fen'bu'quan'shi'jie'de 分布全世界的
'hui'gui'qu'yu 回归区域
'rong'qi 容器
'xu'shui'she'shi 蓄水设施
'xue'qing'xing 血清型
'dian'jie'zhi 电解质
'sheng'wu'jian'yan 生物检验
'shuo'gai 蒴盖
'dian'zhi'biao 甸指标
'tu'rang'te'xing 土壤特性
'fen'lei'qi 分类器
'pei'zi'ti 配子体
'si'liao'deng'ji 饲料灯机
'tu'rang'di'zhi'xue 土壤地质学
'pei'zi'mu'xi'bao 配子母细胞
'jue'zhao 绝招
'xiang'dang'ran 想当然
'da'kun'ji 打捆机
'yi'zhi 移植
'wei'guan 微管
'tan'suan'jia'fei 碳酸钾肥
'ye'ji 叶基
'qin'ru'yan 侵入岩
'tu'rang'xing'cheng'yin'su 土壤形成因素
'gan'you'zhi 甘油酯
'shi'yu'yi'zhi'ji 食欲抑制剂
'bing'yuan'xing'bing'du 病原性病毒
'da'qi 大气
'dong'wu'jie 动物界
'bian'ji'bu 编辑部
'gao'ji'zhi'fang'suan 高级脂肪酸
'mai'jiao'zhong'du 麦角中毒
'ting'zhi'shui'tu'rang 停滞水土壤
'nong'ye'qi'hou'de 农业气候的
'yu'zhong'xing'zhuang 育种性状
'zhong'jian'su'zhu 中间宿主
'yong'bian 蛹便
'ding'duan'you'shi 顶端优势
'zhao'sheng'zhi'wu 沼生植物
'zhi'yuan'ti 支原体
'ji'yin'ku 基因库
'shou'huo'gan'zao 收获干燥
'zi'yong'sheng'wu 自泳生物
'he'gan'suan 核苷酸
'sheng'tai'sheng'li'xue 生态生理学
'xian'wei'ji'shu 显微技术
'pai'lao 排涝
'zi'nang'jun 子囊菌
'shou'yi'fei'qian 受益匪浅
'tu'rang'bian'zhong 土壤变种
'yi'miao 疫苗
'chu'chan'mu'zhu 初产母猪
'shu'cai'dou'lei 蔬菜豆类
'you'xian'zong'ti 有限总体
'duan'nai'zi'zhu 断奶仔猪
'quan'xin'si'zhuang'xian'chong'bing 犬心丝状线虫病
'hong'ye'de 红叶的
'ji'nai'ji 挤奶机
'shou'huo'nian'du 收获年度
'bai'mo 白膜
'can'shi 参试
'shui'tu'bao'chi'gong'cheng 水土保持工程
'ye'ling 叶龄
'ya'li 压力
'ti'nei'ping'heng 体内平衡
'chen'ji'yu'ni 沉积淤泥
'chang'rou'mao'ye'wan'dou 长柔毛野豌豆
'jue'lei 蕨类
'mei'zhu'mian'ji 每株面积
'quan'ji'zai'tong 醛基甾酮
'lu'zhu 芦竹
'wan'quan'pei'yang'ji 完全培养基
'zhi'yu 值域
'pei'fen'lie 胚分裂
'hua'fen'cai'ji'qi 花粉采集器
'qiu'ling'di'tu'rang 丘陵地土壤
'tan'ming 探明
'gan'lan'gen'zhong'bing 甘蓝根肿病
'nei'lu 内陆
're'hua'xue'xing'zhi 热化学性质
'huang'bian 黄变
'wu'jun'pei'yang 无菌培养
'xi'shui'qin'shi 溪水侵蚀
'xin'cheng'ti 新成体
'yao'fen'xiang 药粉箱
'za'cao'fang'chu 杂草防除
'dian'qi'shi 电气石
'zhe'teng 折腾
'qie'diao 切掉
'nai'dong'xing 耐冻性
'hou'tian'huo'de'de 后天获得的
'ran'se'ti'duan'lie 染色体断裂
'chu'ji'duo'bei'ti 初级多倍体
'jia'quan 甲醛
'jiu'fei'sa'bu'ji 厩肥撒布机
'tuan'san'hua'xu 团伞花序
'jia'chu'si'yang'di'yu 家畜饲养地域
'yin'xing 银杏
'zhan'rang'tu 粘壤土
'yi'chuan'hu'bu'xing 遗传互补性
'shi'zhi'wu'de 食植物的
'shu'jian'za'zhong 属间杂种
'zi'you'zu'he 自由组合
