'a'ke'tai 阿克泰
'jiang'su'sheng'xu'yi'xian'shu'yi'hua'gong'you'xian'gong'si 江苏省盱眙县舒怡化工有限公司
'jiang'su'sheng'xu'zhou'feng'wei'hua'gong'chang 江苏省徐州丰威化工厂
'jiang'su'sheng'xu'zhou'nong'yao'chang 江苏省徐州农药厂
'jiang'su'sheng'xu'zhou'nuo'en'nong'hua'you'xian'gong'si 江苏省徐州诺恩农化有限公司
'jiang'su'sheng'xu'zhou'nuo'te'hua'gong'you'xian'gong'si 江苏省徐州诺特化工有限公司
'jiang'su'sheng'xu'zhou'run'ze'hua'gong'you'xian'gong'si 江苏省徐州润泽化工有限公司
'jiang'su'sheng'xu'zhou'sheng'wu'hua'xue'chang 江苏省徐州生物化学厂
'jiang'su'sheng'xu'zhou'shi'lin'huang'nong'yao'chang 江苏省徐州市临黄农药厂
'jiang'su'sheng'xu'zhou'tian'he'bao'hua'gong'you'xian'gong'si 江苏省徐州天禾宝化工有限公司
'jiang'su'sheng'yan'cheng'li'min'nong'hua'you'xian'gong'si 江苏省盐城利民农化有限公司
'jiang'su'sheng'yan'cheng'nan'fang'hua'gong'you'xian'gong'si 江苏省盐城南方化工有限公司
'jiang'su'sheng'yan'cheng'shi'huang'long'shi'ye'you'xian'gong'si 江苏省盐城市黄隆实业有限公司
'jiang'su'sheng'yan'cheng'shuang'ning'nong'hua'you'xian'gong'si 江苏省盐城双宁农化有限公司
'jiang'su'sheng'yang'zhou'shi'hua'gong'she'ji'yan'jiu'suo 江苏省扬州市化工设计研究所
'jiang'su'sheng'yang'zhou'shi'hua'long'hua'gong'you'xian'gong'si 江苏省扬州市华龙化工有限公司
'jiang'su'sheng'yi'xing'shi'sheng'wu'hua'xue'chang 江苏省宜兴市生物化学厂
'jiang'su'sheng'zhang'jia'gang'dong'fang'nong'hua'you'xian'gong'si 江苏省张家港东方农化有限公司
'jiang'su'sheng'zhen'jiang'jiang'nan'hua'gong'you'xian'gong'si 江苏省镇江江南化工有限公司
'jiang'su'sheng'zhen'jiang'xian'feng'hua'xue'you'xian'gong'si 江苏省镇江先锋化学有限公司
'jiang'su'sheng'zhen'jiang'zhen'bang'hua'gong'you'xian'gong'si 江苏省镇江振邦化工有限公司
'jiang'su'su'hua'ji'tuan'xin'yi'nong'hua'you'xian'gong'si 江苏苏化集团新沂农化有限公司
'jiang'su'su'hua'ji'tuan'you'xian'gong'si 江苏苏化集团有限公司
'jiang'su'su'zhong'nong'yao'hua'gong'chang 江苏苏中农药化工厂
'jiang'su'tai'zhou'bai'li'hua'xue'you'xian'gong'si 江苏泰州百力化学有限公司
'jiang'su'teng'long'sheng'wu'yao'ye'you'xian'gong'si 江苏腾龙生物药业有限公司
'jiang'su'tian'rong'ji'tuan'gu'fen'you'xian'gong'si 江苏天容集团股份有限公司
'jiang'su'tong'da'gu'fen'you'xian'gong'si 江苏同大股份有限公司
'jiang'su'tong'wei'sheng'hua'you'xian'gong'si 江苏通维生化有限公司
'jiang'su'tuo'qiu'nong'hua'you'xian'gong'si 江苏托球农化有限公司
'jiang'su'wu'cai'jing'xi'hua'gong'gu'fen'you'xian'gong'si 江苏五彩精细化工股份有限公司
'jiang'su'wu'xi'kai'li'da'shi'ye'you'xian'gong'si 江苏无锡开立达实业有限公司
'jiang'su'xin'gang'nong'hua'you'xian'gong'si 江苏新港农化有限公司
'jiang'su'xing'cheng'yu'zhi'wu'nong'yao'you'xian'gong'si 江苏兴澄榆植物农药有限公司
'jiang'su'yang'nong'hua'gong'gu'fen'you'xian'gong'si 江苏扬农化工股份有限公司
'jiang'su'yang'nong'hua'gong'ji'tuan'you'xian'gong'si 江苏扬农化工集团有限公司
'jiang'su'yin'yan'hua'gong'gu'fen'you'xian'gong'si 江苏银燕化工股份有限公司
'jiang'su'ying'tai'hua'xue'you'xian'gong'si 江苏颖泰化学有限公司
'jiang'su'you'shi'hua'xue'you'xian'gong'si 江苏优士化学有限公司
'jiang'su'yun'fan'hua'gong'you'xian'gong'si 江苏云帆化工有限公司
'jiang'su'zao'xing'nong'hua'you'xian'gong'si 江苏灶星农化有限公司
'jiang'su'zheng'ben'nong'yao'hua'gong'you'xian'gong'si 江苏正本农药化工有限公司
'jiang'su'zhi'wu'tiao'jie'ji'zhong'xin'nong'yao'chang 江苏植物调节剂中心农药厂
'jiang'su'zhong'qi'hua'gong'you'xian'gong'si 江苏中旗化工有限公司
'jiang'su'zhong'yi'hua'xue'you'xian'gong'si 江苏中意化学有限公司
'jiang'xi'ba'fei'te'hua'gong'you'xian'gong'si 江西巴菲特化工有限公司
'jiang'xi'ba'mu'bo'sheng'wu'ke'ji'you'xian'gong'si 江西巴姆博生物科技有限公司
'jiang'xi'bai'ling'ri'hua'you'xian'gong'si 江西百灵日化有限公司
'jiang'xi'bang'bo'sheng'wu'yao'ye'you'xian'gong'si 江西邦博生物药业有限公司
'jiang'xi'chang'rong'tian'ran'xiang'liao'you'xian'gong'si 江西长荣天然香料有限公司
'jiang'xi'chao'ling'hua'gong'you'xian'ze'ren'gong'si 江西超灵化工有限责任公司
'jiang'xi'cheng'zhi'ri'hua'you'xian'gong'si 江西诚志日化有限公司
'jiang'xi'da'nong'hua'gong'you'xian'gong'si 江西大农化工有限公司
'jiang'xi'da'zi'ran'hua'gong'chang 江西大自然化工厂
'jiang'xi'de'xin'hua'gong'you'xian'gong'si 江西德鑫化工有限公司
'jiang'xi'dian'hua'you'xian'ze'ren'gong'si 江西电化有限责任公司
'jiang'xi'du'juan'ri'hua'you'xian'gong'si 江西杜鹃日化有限公司
'jiang'xi'dun'pai'hua'gong'you'xian'ze'ren'gong'si 江西盾牌化工有限责任公司
'jiang'xi'feng'yuan'nong'yao'you'xian'gong'si 江西丰源农药有限公司
'jiang'xi'fu'zhou'xin'xing'hua'gong'you'xian'gong'si 江西抚州新兴化工有限公司
'jiang'xi'gan'zhong'hua'gong'chang 江西赣中化工厂
'jiang'xi'gan'zhou'shi'gan'wei'wei'sheng'yong'pin'chang 江西赣州市赣威卫生用品厂
'jiang'xi'he'gong'ye'san'nong'hua'gong'you'xian'gong'si 江西核工业三农化工有限公司
'jiang'xi'he'yi'hua'gong'you'xian'gong'si 江西禾益化工有限公司
'jiang'xi'hei'mao'wen'xiang'chang 江西黑猫蚊香厂
'jiang'xi'hong'tu'di'hua'gong'you'xian'gong'si 江西红土地化工有限公司
'jiang'xi'hui'he'hua'gong'you'xian'gong'si 江西汇和化工有限公司
'jiang'xi'hui'jie'ri'hua'ke'ji'you'xian'gong'si 江西惠洁日化科技有限公司
'jiang'xi'jin'yuan'lai'shi'ye'you'xian'gong'si 江西金元莱实业有限公司
'jiang'xi'kai'feng'hua'gong'you'xian'gong'si 江西凯丰化工有限公司
'jiang'xi'long'xiang'ri'yong'hua'gong'you'xian'gong'si 江西龙翔日用化工有限公司
'jiang'xi'long'yuan'nong'yao'you'xian'gong'si 江西龙源农药有限公司
'jiang'xi'lv'chuan'sheng'wu'ke'ji'shi'ye'you'xian'gong'si 江西绿川生物科技实业有限公司
'jiang'xi'lv'tian'sheng'hua'you'xian'gong'si 江西绿田生化有限公司
'jiang'xi'ming'xing'nong'yao'shi'ye'you'xian'gong'si 江西明兴农药实业有限公司
'jiang'xi'nan'chang'de'bao'wen'xiang'kai'fa'you'xian'gong'si 江西南昌德宝蚊香开发有限公司
'jiang'xi'nong'da'rui'te'hua'gong'ke'ji'you'xian'gong'si 江西农大锐特化工科技有限公司
'jiang'xi'nong'da'zhi'bao'hua'gong'you'xian'gong'si 江西农大植保化工有限公司
'jiang'xi'ou'mei'sheng'wu'ke'ji'you'xian'gong'si 江西欧美生物科技有限公司
'jiang'xi'po'er'nong'zuo'wu'gong'cheng'you'xian'gong'si 江西珀尔农作物工程有限公司
'jiang'xi'ri'shang'hua'gong'you'xian'gong'si 江西日上化工有限公司
'jiang'xi'shan'feng'ri'hua'you'xian'gong'si 江西山峰日化有限公司
'jiang'xi'shan'ye'hua'gong'you'xian'ze'ren'gong'si 江西山野化工有限责任公司
'jiang'xi'shan'you'dong'wu'yao'ye'you'xian'ze'ren'gong'si 江西山友动物药业有限责任公司
'jiang'xi'sheng'an'nong'sheng'hua'you'xian'gong'si 江西省安农生化有限公司
'jiang'xi'sheng'dong'feng'zhi'yao'chang 江西省东风制药厂
'jiang'xi'sheng'dong'xiang'fei'da'wen'xiang'chang 江西省东乡飞达蚊香厂
'jiang'xi'sheng'dong'xiang'xian'san'you'hua'gong'you'xian'gong'si 江西省东乡县三友化工有限公司
'jiang'xi'sheng'gan'zhou'shi'san'jiang'wei'sheng'yong'pin'chang 江西省赣州市三江卫生用品厂
'jiang'xi'sheng'gan'zhou'yu'tian'hua'gong'you'xian'gong'si 江西省赣州宇田化工有限公司
'jiang'xi'sheng'gao'an'shi'wei'kang'wen'xiang'chang 江西省高安市伟康蚊香厂
'jiang'xi'sheng'guan'ju'jing'xi'hua'gong'you'xian'gong'si 江西省冠菊精细化工有限公司
'jiang'xi'sheng'gui'xi'xian'nong'yao'chang 江西省贵溪县农药厂
'jiang'xi'sheng'hua'dong'nong'yao'chang 江西省华东农药厂
'jiang'xi'sheng'hua'sheng'wu'nong'yao'you'xian'ze'ren'gong'si 江西盛华生物农药有限责任公司
'jiang'xi'sheng'ji'shui'xian'gan'zhong'sheng'wu'hua'gong'chang 江西省吉水县赣中生物化工厂
'jiang'xi'sheng'jiang'feng'hua'gong'you'xian'gong'si 江西省江丰化工有限公司
'jiang'xi'sheng'jiang'xi'mei'zhi'ji'chang 江西省江西酶制剂厂
'jiang'xi'sheng'jiu'jiang'he'tian'hua'gong'you'xian'gong'si 江西省九江和田化工有限公司
'jiang'xi'sheng'ke'li'nong'hua'shi'ye'you'xian'gong'si 江西省科力农化实业有限公司
'jiang'xi'sheng'ke'tai'hua'xue'gong'ye'you'xian'gong'si 江西省科泰化学工业有限公司
'jiang'xi'sheng'long'nan'xian'chen'shi'wen'xiang'you'xian'gong'si 江西省龙南县陈氏蚊香有限公司
'jiang'xi'sheng'long'nan'xian'nan'ya'fei'wa'wen'xiang'chang 江西省龙南县南亚飞蛙蚊香厂
'jiang'xi'sheng'min'xing'qi'ye'ji'tuan'gong'si 江西省民星企业集团公司
'jiang'xi'sheng'nan'chang'gan'feng'hua'gong'nong'yao'chang 江西省南昌赣丰化工农药厂
'jiang'xi'sheng'nan'chang'nong'yao'chang 江西省南昌农药厂
'jiang'xi'sheng'nan'chang'wen'xiang'chang 江西省南昌蚊香厂
'jiang'xi'sheng'ning'du'xian'wen'xiang'chang 江西省宁都县蚊香厂
'jiang'xi'sheng'nong'fu'lai'nong'hua'you'xian'gong'si 江西省农福来农化有限公司
'jiang'xi'sheng'ping'xiang'shi'chang'feng'nong'yao'chang 江西省萍乡市昌丰农药厂
'jiang'xi'sheng'ping'xiang'shi'di'er'nong'yao'chang 江西省萍乡市第二农药厂
'jiang'xi'sheng'ping'xiang'shi'lao'guan'nong'yao'chang 江西省萍乡市老关农药厂
'jiang'xi'sheng'ping'xiang'shi'nong'yao'chang 江西省萍乡市农药厂
'jiang'xi'sheng'ping'xiang'shi'xiao'chun'wen'xiang'chang 江西省萍乡市笑春蚊香厂
'jiang'xi'sheng'rui'jin'xian'nong'yao'chang 江西省瑞金县农药厂
'jiang'xi'sheng'sheng'wu'yao'pin'zhi'zao'chang 江西省生物药品制造厂
'jiang'xi'sheng'xin'gan'hua'gong'chang 江西省新干化工厂
'jiang'xi'sheng'xin'hui'huang'hua'gong'you'xian'gong'si 江西省新辉煌化工有限公司
'jiang'xi'sheng'xin'yu'liang'xin'shi'ye'you'xian'gong'si 江西省新余良欣实业有限公司
'jiang'xi'sheng'xin'yu'shi'xin'wei'wen'xiang'chang 江西省新余市新威蚊香厂
'jiang'xi'sheng'yi'chun'di'qu'hua'gong'shi'yan'chang 江西省宜春地区化工实验厂
'jiang'xi'sheng'yi'chun'xin'long'hua'gong'you'xian'gong'si 江西省宜春新龙化工有限公司
'jiang'xi'sheng'yi'chun'xin'you'hua'gong'you'xian'gong'si 江西省宜春信友化工有限公司
'jiang'xi'sheng'ying'shan'hong'nong'hua'you'xian'gong'si 江西省映山红农化有限公司
'jiang'xi'sheng'ying'tan'shi'shen'long'xiang'zhuang 江西省鹰潭市神龙香莊
'jiang'xi'sheng'yong'xin'xian'hong'feng'ri'hua'you'xian'gong'si 江西省永新县红枫日化有限公司
'jiang'xi'sheng'yong'xin'xian'min'gan'wen'xiang'you'xian'gong'si 江西省永新县闽赣蚊香有限公司
'jiang'xi'sheng'yong'xiu'xian'nan'yang'hua'gong'chang 江西省永修县南洋化工厂
'jiang'xi'sheng'yu'du'xian'luo'ao'wen'xiang'fu'li'chang 江西省于都县罗坳蚊香福利厂
'jiang'xi'sheng'yu'gan'xian'nong'ye'hua'gong'chang 江西省余干县农业化工厂
'jiang'xi'sheng'zhang'shu'shi'yao'du'wen'xiang'chang 江西省樟树市药都蚊香厂
'jiang'xi'sheng'zhang'shu'shi'zhang'ju'ri'yong'hua'gong'chang 江西省樟树市樟菊日用化工厂
'jiang'xi'shi'pu'run'nong'hua'you'xian'gong'si 江西施普润农化有限公司
'jiang'xi'shui'yi'ri'hua'you'xian'gong'si 江西睡怡日化有限公司
'jiang'xi'shun'quan'sheng'wu'ke'ji'you'xian'gong'si 江西顺泉生物科技有限公司
'jiang'xi'sui'chuan'xian'zhi'xiang'chang 江西遂川县制香厂
'jiang'xi'sui'feng'nong'yao'hua'gong'you'xian'gong'si 江西穗丰农药化工有限公司
'jiang'xi'tian'ren'sheng'tai'gong'ye'you'xian'ze'ren'gong'si 江西天人生态工业有限责任公司
'jiang'xi'tian'you'sheng'hua'you'xian'gong'si 江西田友生化有限公司
'jiang'xi'tong'ye'ji'tuan'xin'cai'liao'you'xian'gong'si 江西铜业集团新材料有限公司
'jiang'xi'wan'de'hua'gong'ke'ji'you'xian'gong'si 江西万德化工科技有限公司
'jiang'xi'wan'feng'nong'yao'hua'gong'you'xian'gong'si 江西万丰农药化工有限公司
'jiang'xi'wei'li'te'sheng'wu'ke'ji'you'xian'gong'si 江西威力特生物科技有限公司
'jiang'xi'wen'da'shi'ye'you'xian'gong'si 江西文达实业有限公司
'jiang'xi'xin'rui'feng'sheng'hua'you'xian'gong'si 江西新瑞丰生化有限公司
'jiang'xi'xin'xing'nong'yao'you'xian'gong'si 江西新兴农药有限公司
'jiang'xi'ya'ke'xi'yao'ye'you'xian'gong'si 江西亚科西药业有限公司
'jiang'xi'yang'guang'hua'gong'you'xian'gong'si 江西阳光化工有限公司
'jiang'xi'yi'long'hua'gong'you'xian'gong'si 江西益隆化工有限公司
'jiang'xi'ying'su'er'sheng'wu'ke'ji'you'xian'gong'si 江西英苏尔生物科技有限公司
'jiang'xi'zhen'jin'ri'hua'you'xian'gong'si 江西真金日化有限公司
'jiang'xi'zheng'bang'hua'gong'you'xian'gong'si 江西正邦化工有限公司
'jiang'xi'zhong'he'hua'gong'you'xian'gong'si 江西众和化工有限公司
'jiang'xi'zhong'yuan'hua'gong'you'xian'gong'si 江西中源化工有限公司
'jiang'yin'su'li'hua'xue'you'xian'gong'si 江阴苏利化学有限公司
'jie'cao'ding 解草啶
'jie'cao'tong 解草酮
'jie'cao'wan 解草烷
'jie'cao'xi 解草烯
'jie'cao'zuo 解草唑
'jin'jiang'shi'xiang'ning'ri'hua'you'xian'gong'si 晋江市祥宁日化有限公司
'jing'ben'zuo 腈苯唑
'jing'bi'fu'he'cao'ling 精吡氟禾草灵
'jing'e'zuo'he'cao'ling 精噁唑禾草灵
'jing'gang'mei'su 井冈霉素
'jing'jia'shuang'ling 精甲霜灵
'jing'jun'zuo 腈菌唑
'jing'kui'he'ling 精喹禾灵
'jing'sha'wei 腈杀威
'jing'shang'shi'hui'gong'ye'zhu'shi'hui'she 井上石灰工业株式会社
'jing'wo'lin 腈肟磷
'jiu'jiang'fei'lan'gao'xin'cai'liao'you'xian'gong'si 九江菲蓝高新材料有限公司
'jiu'xiao'wei 久效威
'jue'yu'lin 绝育磷
'jun'da'mie 菌达灭
'jun'du'qing 菌毒清
'jun'yao 菌药
'ka'cao'an 卡草胺
'kang'chong'wei 抗虫威
'kang'dao'an 抗倒胺
'kang'dao'zhi 抗倒酯
'kang'jun'mei'su 抗菌霉素
'kang'jun'zuo 糠菌唑
'kang'kuan 康宽
'kang'man'zuo 抗螨唑
'kang'mei'jun'su 抗霉菌素
'kang'ya'wei 抗蚜威
'kang'ying'wei 抗蝇威
'kang'you'xi 抗幼烯
'ke'bai'wei 克百威
'ke'jun'zhuang 克菌壮
'ke'man'long 克螨隆
'ke'mei 克霉
'ke'mie'shu 克灭鼠
'ke'wen'zuo 克瘟唑
'ke'xian'dan 克线丹
'ke'xian'lin 克线磷
'kou'e'mei'ling 口恶霉灵
'kou'e'shuang'ling 口恶霜灵
'kou'e'shuang'meng'xin 口恶霜锰锌
'kou'e'xian'an 口恶酰胺
'ku'pi'teng'su 苦皮藤素
'ku'shen'jian 苦参碱
'ku'shen'jian'chun 苦参碱醇
'ku'shen'su 苦参素
'ku'wei'ning 枯萎宁
'kuang'wu'you 矿物油
'kui'cao'suan 喹草酸
'kui'e'liu'lin 喹恶硫磷
'kui'he'ling 喹禾灵
'kui'he'ling 奎禾灵
'kui'jun'tong 喹菌酮
'kui'jun'tong 奎菌酮
'kui'lin'yan 喹啉盐
'kui'liu'lin 喹硫磷
'kui'man'mi 喹螨醚
'kun'wo'zong 醌肟腙
'la'gen'su 辣根素
'la'jiao'jian 辣椒碱
'la'zhi'ya'bao'gan'jun 蜡质芽孢杆菌
'lang'dang'jian 莨菪碱
'lang'du'su 狼毒素
'le'guo 乐果
'le'sha'man 乐杀螨
'lei'gong'teng'jia'su 雷公藤甲素
'li'ke'jun 利克菌
'li'ku'ling 利枯灵
'lian'ben'jing'zhi 联苯肼酯
'lian'ben'ju'zhi 联苯菊酯
'lian'ben'san'zuo'chun 联苯三唑醇
'lian'mei'su 链霉素
'lian'mei'suo 链霉索
'lian'pu'hua'xue'you'xian'gong'si 联普化学有限公司
'lian'yun'gang'shi'te'bie'te'sheng'hua'you'xian'gong'si 连云港市特别特生化有限公司
'liao'cheng'shi'lai'wei'ri'hua'chang 聊城市来威日化厂
'lin'fei 磷肥
'lin'hua'lv 磷化铝
'lin'hua'mei 磷化镁
'lin'hua'qing 磷化氢
'lin'hua'xin 磷化锌
'lin'xian'an 邻酰胺
'lin'yi'feng'yang'hua'gong'you'xian'gong'si 临沂丰阳化工有限公司
'liu'bing'lin 硫丙磷
'liu'chong'wei 硫虫畏
'liu'dai'tan'suan'na 硫代碳酸钠
'liu'dan 硫丹
'liu'fu'wo'mi 硫氟肟醚
'liu'huan'lin 硫环磷
'liu'huang 硫磺
'liu'jun'ling 硫菌灵
'liu'lv'san 硫氯散
'liu'mi'lin 硫醚磷
'liu'qing 硫氰
'liu'qing'ben'sai 硫氰苯噻
'liu'shuang'mie'duo'wei 硫双灭多威
'liu'shuang'wei 硫双威
'liu'suan'lian'mei'su 硫酸链霉素
'liu'suan'tong'gai 硫酸铜钙
'liu'wo'mi 硫肟醚
'liu'xian'lin 硫线磷
'liu'yang'mei'su 浏阳霉素
'liu'yi'cao'mie 硫乙草灭
'liu'zhou'shi'xin'yan'xiao'sha'yao'ji'chang 柳州市新岩消杀药剂厂
'long'ke'jun 龙克菌
'luo'chong'yi'zhi 螺虫乙酯
'luo'man'zhi 螺螨酯
'lv'an'lin 氯胺磷
'lv'ben'an'ling 氯苯胺灵
'lv'ben'mi'ding'chun 氯苯嘧啶醇
'lv'bi'liu'lin 氯吡硫磷
'lv'chong'ben'jia'xian'an 氯虫苯甲酰胺
'lv'chong'xian'jing 氯虫酰肼
'lv'dan 氯丹
'lv'ding'jun'zhi 氯啶菌酯
'lv'fu'bi'yang'yi'suan 氯氟吡氧乙酸
'lv'fu'cao'chu 氯氟草除
'lv'fu'qing'ju'zhi 氯氟氰菊酯
'lv'huang'long 氯磺隆
'lv'huang'long 绿磺隆
'lv'jiang'jun 绿僵菌
'lv'ju'xin 氯菊辛
'lv'ju'zhi 氯菊酯
'lv'liu'lin 氯硫磷
'lv'man 氯螨
'lv'mi'huang'long 氯嘧磺隆
'lv'qing'ju'zhi 氯氰菊酯
'lv'sai'lin 氯噻啉
'lv'sha'man 氯杀螨
'lv'shu'tong 氯鼠酮
'lv'xiao'fen 氯硝酚
'lv'xiao'nai 氯硝萘
'lv'xiao'san 氯硝散
'lv'xiu'yi'qing'niao'suan 氯溴异氰尿酸
'lv'ya'an'liu'lin 氯亚胺硫磷
'lv'zuo'lin 氯唑磷
'ma'la'liu'lin 马拉硫磷
'ma'lai'xi'ya'yi'ma'zi'yuan'you'xian'gong'si 马来西亚益马资源有限公司
'mai'ke'si'hua'xue'you'xian'gong'si 迈克斯化学有限公司
'man'an'lin 螨胺磷
'mei'feng'nong'hua'you'xian'gong'si 美丰农化有限公司
'mei'guo'en'si'te'ke'si'gong'si 美国恩斯特克斯公司
'mei'guo'fu'mei'shi'gong'si 美国富美实公司
'mei'guo'gao'wen'guo'ji'shang'ye'you'xian'gong'si 美国高文国际商业有限公司
'mei'guo'luo'men'ha'si'gong'si 美国罗门哈斯公司
'mei'guo'meng'shan'du'gong'si 美国孟山都公司
'mei'guo'mo'sai'ji'shu'gong'si 美国默赛技术公司
'mei'guo'peng'sha'ji'tuan 美国硼砂集团
'mei'guo'qing'an'gong'si 美国氰胺公司
'mei'guo'sheng'wu'wu'li'gong'si 美国生物物理公司
'mei'guo'tao'shi'yi'nong'gong'si 美国陶氏益农公司
'mei'guo'xian'nong'you'xian'gong'si 美国仙农有限公司
'mei'guo'yi'ke'zhi'hui'ke'ji'you'xian'gong'si 美国依科智慧科技有限公司
'mei'guo'you'nuo'zuo'wu'ke'xue'you'xian'gong'si 美国优诺作物科学有限公司
'meng'ke'lin 锰克磷
'meng'sha'wei 猛杀威
'mi'ben'huang'long 醚苯磺隆
'mi'cao'zhi 咪草酯
'mi'ding'chun 嘧啶醇
'mi'ding'lin 嘧啶磷
'mi'ding'wei 嘧啶威
'mi'ding'yang'lin 嘧啶氧磷
'mi'huang'long 嘧黄隆
'mi'huang'long 醚磺隆
'mi'ju'zhi 醚菊酯
'mi'jun'an 嘧菌胺
'mi'jun'huan'an 嘧菌环胺
'mi'jun'jing 咪菌腈
'mi'jun'niao 嘧菌脲
'mi'jun'zhi 嘧菌酯
'mi'jun'zhi 醚菌酯
'mi'man'zhi 嘧螨酯
'mi'tai'mei'su 嘧肽霉素
'mi'xian'an 咪鲜胺
'mi'xian'an'meng'yan 咪鲜胺锰盐
'mi'zuo'kui'lin'suan 咪唑喹啉酸
'mi'zuo'mei 咪唑霉
'mi'zuo'yi'yan'suan 咪唑乙烟酸
'mian'ling'chong 棉铃虫
'mie'cao'song 灭草松
'mie'duo'wei 灭多威
'mie'hai'wei 灭害威
'mie'jun'zuo 灭菌唑
'mie'man'ling 灭螨灵
'mie'man'te 灭螨特
'mie'pu'wei 灭扑威
'mie'shuang'ling 灭霜灵
'mie'wen'su 灭瘟素
'mie'xian'lin 灭线磷
'mie'xiu'an 灭锈胺
'mie'yi'ling 灭蚁灵
'mie'ying'an 灭蝇胺
'mie'ying'lin 灭蝇磷
'mie'you'niao 灭幼脲
'mu'mei'jun 木霉菌
'mu'xu'yin'wen'ye'e'he'xing'duo'jiao'ti'bing'du 苜蓿银纹夜蛾核型多角体病毒
'mu'yan'jian 木烟碱
'na'ta'mei'su 纳他霉素
'nan'fei'a'er'ge'lei'nong'hua'you'xian'gong'si 南非阿尔格雷农化有限公司
'nan'jing'kun'yue'hua'gong'you'xian'gong'si 南京昆玥化工有限公司
'nan'jing'nan'nong'nong'yao'ke'ji'fa'zhan'you'xian'gong'si 南京南农农药科技发展有限公司
'nan'long'hua'xue'you'xian'gong'si 南龙化学有限公司
'nan'tong'qiao'ji'hua'gong'you'xian'gong'si 南通侨基化工有限公司
'nan'tong'xin'hua'nong'yao'you'xian'gong'si 南通新华农药有限公司
'nei'xi'lin 内吸磷
'ni'chu'chong'ju'zhi 拟除虫菊酯
'nian'chong 粘虫
'ning'nan'mei'su 宁南霉素
'nong'ye'ju 农业局
'nuo'pu'xin 诺普信
'nuo'wei'lao'dao'ke'si'gong'si 挪威劳道克斯公司
'pu'ju'gua'tang'su 葡聚寡糖素
'pu'tao'ya'si'pei'ke'nong'hua'you'xian'gong'si 葡萄牙斯佩科农化有限公司
'qi'fu'ju'zhi 七氟菊酯
'qiang'cao'tong 羟草酮
'qiang'jun'zuo 羟菌唑
'qiang'xiu'ning 羟锈宁
'qin'cao'tong 嗪草酮
'qin'chong'niao 嗪虫脲
'qin'huang'long 嗪磺隆
'qing'an'hua'gai 氰氨化钙
'qing'chong'jun 青虫菌
'qing'dao'ai'ke'lu'sheng'wu'ke'ji'you'xian'gong'si 青岛艾可路生物科技有限公司
'qing'dao'hai'na'sheng'wu'ke'ji'you'xian'gong'si 青岛海纳生物科技有限公司
'qing'dao'shuang'shou'nong'yao'hua'gong'you'xian'gong'si 青岛双收农药化工有限公司
'qing'dao'zhong'da'nong'ye'ke'ji'you'xian'gong'si 青岛中达农业科技有限公司
'qing'fu'chong'zong 氰氟虫腙
'qing'hua'na 氰化钠
'qing'jun'an 氰菌胺
'qing'shuang'zuo 氰霜唑
'qing'wu'ju'zhi 氰戊菊酯
'qing'xi'jun'zhi 氰烯菌酯
'qing'yang'hua'tong 氢氧化铜
'qiu'bao'bai'jiang'jun 球孢白僵菌
'que'cao'an 炔草胺
'que'cao'zhi 炔草酯
'que'he'ling 炔禾灵
'que'man'te 炔螨特
'que'mi'ju'zhi 炔咪菊酯
'ri'ben'ba'zhou'hua'xue'gong'ye'zhu'shi'hui'she 日本八洲化学工业株式会社
'ri'ben'cao'da'zhu'shi'hui'she 日本曹达株式会社
'ri'ben'chan'tong'zhu'shi'hui'she 日本产通株式会社
'ri'ben'da'ri'ben'chu'chong'ju'zhu'shi'hui'she 日本大日本除虫菊株式会社
'ri'ben'da'zhong'yao'pin'gong'ye'zhu'shi'hui'she 日本大冢药品工业株式会社
'ri'ben'fu'tian'zhu'shi'hui'she 日本福田株式会社
'ri'ben'nong'yao'zhu'shi'hui'she 日本农药株式会社
'ri'ben'ri'chan'hua'xue'gong'ye'zhu'shi'hui'she 日本日产化学工业株式会社
'ri'ben'ri'mian'zhu'shi'hui'she 日本日棉株式会社
'ri'ben'san'ling'shang'shi'zhu'shi'hui'she 日本三菱商事株式会社
'ri'ben'san'ling'you'hua'zhu'shi'hui'she 日本三菱油化株式会社
'ri'ben'shi'yuan'chan'ye'zhu'shi'hui'she 日本石原产业株式会社
'ri'ben'wei'cai'shi'pin'hua'xue'zhu'shi'hui'she 日本卫材食品化学株式会社
'ri'ben'xu'hua'xue'gong'ye'zhu'shi'hui'she 日本旭化学工业株式会社
'ri'ben'zu'he'hua'xue'gong'ye'zhu'shi'hui'she 日本组合化学工业株式会社
'rui'bang'nong'hua'you'xian'gong'si 瑞邦农化有限公司
'rui'jin'te 锐劲特
'rui'la'jun'su 瑞拉菌素
'rui'shi'xian'zheng'da'zuo'wu'bao'hu'you'xian'gong'si 瑞士先正达作物保护有限公司
'sai'cao'an 噻草胺
'sai'cao'tong 噻草酮
'sai'chong'an 噻虫胺
'sai'chong'lin 噻虫啉
'sai'chong'qin 噻虫嗪
'sai'chong'quan 噻虫醛
'sai'fen'huang'long 噻吩磺隆
'sai'fu'long 噻氟隆
'sai'huang'long 噻磺隆
'sai'jun'an 噻菌胺
'sai'jun'jing 噻菌腈
'sai'jun'ling 噻菌灵
'sai'jun'mao 噻菌茂
'sai'jun'tong 噻菌铜
'sai'man'an 噻螨胺
'sai'man'chun 噻螨醇
'sai'man'te 噻螨特
